발표일,시간,실제,예측,이전
2016년 04월 01일 (3월),23:00,51.8,50.7,49.5
2016년 05월 02일 (4월),23:00,50.8,51.4,51.8
2016년 06월 01일 (5월),23:00,51.3,50.4,50.8
2016년 07월 01일 (6월),23:00,53.2,51.4,51.3
2016년 08월 01일 (7월),23:00,52.6,53,53.2
2016년 09월 01일 (8월),23:00,49.4,52,52.6
2016년 10월 03일 (9월),23:00,51.5,50.3,49.4
2016년 11월 01일 (10월),23:00,51.9,51.7,51.5
2016년 12월 02일 (11월),0:00,53.2,52.2,51.9
2017년 01월 04일 (12월),0:00,54.7,53.6,53.2
2017년 02월 02일 (1월),0:00,56,55,54.5
2017년 03월 02일 (2월),0:00,57.7,56,56
2017년 04월 03일 (3월),23:00,57.2,57,57.7
2017년 05월 01일 (4월),23:00,54.8,56.5,57.2
2017년 06월 01일 (5월),23:00,54.9,54.5,54.8
2017년 07월 03일 (6월),23:00,57.8,55.2,54.9
2017년 08월 01일 (7월),23:00,56.3,56.5,57.8
2017년 09월 01일 (8월),23:00,58.8,56.5,56.3
2017년 10월 02일 (9월),23:00,60.8,58,58.8
2017년 11월 01일 (10월),23:00,58.7,59.5,60.8
2017년 12월 02일 (11월),0:00,58.2,58.4,58.7
2018년 01월 04일 (12월),0:00,59.7,58.1,58.2
2018년 02월 02일 (1월),0:00,59.1,58.8,59.7
2018년 03월 02일 (2월),0:00,60.8,58.7,59.1
2018년 04월 02일 (3월),23:00,59.3,60.1,60.8
2018년 05월 01일 (4월),23:00,57.3,58.6,59.3
2018년 06월 01일 (5월),23:00,58.7,58.2,57.3
2018년 07월 02일 (6월),23:00,60.2,58.4,58.7
2018년 08월 01일 (7월),23:00,58.1,59.4,60.2
2018년 09월 04일 (8월),23:00,61.3,57.6,58.1
2018년 10월 01일 (9월),23:00,59.8,60.1,61.3
2018년 11월 01일 (10월),23:00,57.7,59,59.8
2018년 12월 04일 (11월),0:00,59.3,57.6,57.7
2019년 01월 04일 (12월),0:00,54.1,57.7,59.3
2019년 02월 02일 (1월),0:00,56.6,54.2,54.3
2019년 03월 02일 (2월),0:00,54.2,55.5,56.6
2019년 04월 01일 (3월),23:00,55.3,54.5,54.2
2019년 05월 01일 (4월),23:00,52.8,55,55.3
2019년 06월 03일 (5월),23:00,52.1,53,52.8
2019년 07월 01일 (6월),23:00,51.7,51,52.1
2019년 08월 01일 (7월),23:00,51.2,52,51.7
2019년 09월 03일 (8월),23:00,49.1,51.1,51.2
2019년 10월 01일 (9월),23:00,47.8,50.4,49.1
2019년 11월 01일 (10월),23:00,48.3,48.9,47.8
2019년 12월 03일 (11월),0:00,48.1,49.2,48.3
2020년 01월 04일 (12월),0:00,47.2,49,48.1
2020년 02월 04일 (1월),0:00,50.9,48.5,47.8
2020년 03월 03일 (2월),0:00,50.1,50.5,50.9
2020년 04월 01일 (3월),23:00,49.1,45,50.1
2020년 05월 01일 (4월),23:00,41.5,36.9,49.1
2020년 06월 01일 (5월),23:00,43.1,43,41.5
2020년 07월 01일 (6월),23:00,52.6,49.5,43.1
2020년 08월 03일 (7월),23:00,54.2,53.6,52.6
2020년 09월 01일 (8월),23:00,56,54.5,54.2
2020년 10월 01일 (9월),23:00,55.4,56.4,56
2020년 11월 03일 (10월),0:00,59.3,55.8,55.4
2020년 12월 02일 (11월),0:00,57.5,58,59.3
2021년 01월 06일 (12월),0:00,60.7,56.6,57.5
2021년 02월 02일 (1월),0:00,58.7,60,60.5
2021년 03월 02일 (2월),0:00,60.8,58.8,58.7
2021년 04월 01일 (3월),23:00,64.7,61.3,60.8
2021년 05월 03일 (4월),23:00,60.7,65,64.7
2021년 06월 01일 (5월),23:00,61.2,60.9,60.7
2021년 07월 01일 (6월),23:00,60.6,61,61.2
2021년 08월 02일 (7월),23:00,59.5,60.9,60.6
2021년 09월 01일 (8월),23:00,59.9,58.6,59.5
2021년 10월 01일 (9월),23:00,61.1,59.6,59.9
2021년 11월 01일 (10월),23:00,60.8,60.5,61.1
2021년 12월 02일 (11월),0:00,61.1,61,60.8
2022년 01월 05일 (12월),0:00,58.7,60,61.1
2022년 02월 02일 (1월),0:00,57.6,57.5,58.8
2022년 03월 02일 (2월),0:00,58.6,58,57.6
2022년 04월 01일 (3월),23:00,57.1,59,58.6
2022년 05월 02일 (4월),23:00,55.4,57.6,57.1
2022년 06월 01일 (5월),23:00,56.1,54.5,55.4
2022년 07월 01일 (6월),23:00,53,54.9,56.1
2022년 08월 01일 (7월),23:00,52.8,52,53
2022년 09월 01일 (8월),23:00,52.8,52,52.8
2022년 10월 03일 (9월),23:00,50.9,52.2,52.8
2022년 11월 01일 (10월),23:00,50.2,50,50.9
2022년 12월 02일 (11월),0:00,49,49.8,50.2
2023년 01월 05일 (12월),0:00,48.4,48.5,49
2023년 02월 02일 (1월),0:00,47.4,48,48.4
2023년 03월 02일 (2월),0:00,47.7,48,47.4
2023년 04월 03일 (3월),23:00,46.3,47.5,47.7
2023년 05월 01일 (4월),23:00,47.1,46.8,46.3
2023년 06월 01일 (5월),23:00,46.9,47,47.1
2023년 07월 03일 (6월),23:00,46,47.2,46.9
2023년 08월 01일 (7월),23:00,46.4,46.8,46
2023년 09월 01일 (8월),23:00,47.6,47,46.4
2023년 10월 02일 (9월),23:00,49,47.7,47.6
2023년 11월 01일 (10월),23:00,46.7,49,49
2023년 12월 02일 (11월),0:00,46.7,47.6,46.7
2024년 01월 04일 (12월),0:00,47.4,47.1,46.7
2024년 02월 02일 (1월),0:00,49.1,47.2,47.1
2024년 03월 02일 (2월),0:00,47.8,49.5,49.1
2024년 04월 01일 (3월),23:00,50.3,48.5,47.8
2024년 05월 01일 (4월),23:00,49.2,50,50.3
2024년 06월 03일 (5월),23:00,48.7,49.8,49.2
2024년 07월 01일 (6월),23:00,48.5,49.2,48.7
2024년 08월 01일 (7월),23:00,46.8,48.8,48.5
2024년 09월 03일 (8월),23:00,47.2,47.5,46.8
2024년 10월 01일 (9월),23:00,47.2,47.6,47.2
2024년 11월 01일 (10월),23:00,46.5,47.6,47.2
2024년 12월 03일 (11월),0:00,48.4,47.7,46.5
2025년 01월 04일 (12월),0:00,49.3,48.2,48.4
2025년 02월 04일 (1월),0:00,50.9,49.3,49.2
2025년 03월 04일 (2월),0:00,50.3,50.6,50.9
2025년 04월 01일 (3월),23:00,49,49.5,50.3
2025년 05월 01일 (4월),23:00,48.7,48,49
2025년 06월 02일 (5월),23:00,48.5,49.3,48.7
2025년 07월 01일 (6월),23:00,49,48.8,48.5
