Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
01-Feb,"198,887","193,266",
01-Jan,"208,687","187,225",
Dec-00,"210,385","198,179",
Nov-00,"237,913","186,459",
Oct-00,"250,965","172,738",
Sep-00,"270,208","160,964",
Aug-00,"265,166","156,775",
Jul-00,"263,729","163,050",
Jun-00,"264,471","153,050",
May-00,"256,862","153,843",
Apr-00,"268,716","156,868",
Mar-00,"299,933","168,002",
Feb-00,"284,206","153,540",
Jan-00,"260,409","148,567",
Dec-99,"241,967","146,582",
Nov-99,"218,304","131,786",
Oct-99,"194,259","123,457",
Sep-99,"189,741","121,207",
Aug-99,"187,616","117,149",
Jul-99,"189,503","115,017",
Jun-99,"187,695","116,982",
May-99,"189,950","114,271",
Apr-99,"184,329","112,290",
Mar-99,"166,212","109,941",
Feb-99,"162,909","109,523",
Jan-99,"162,322","107,200",
Dec-98,"148,674","111,507",
Nov-98,"148,697","108,032",
Oct-98,"138,399","108,179",
Sep-98,"144,541","103,879",
Aug-98,"155,879","100,093",
Jul-98,"160,980","92,687",
Jun-98,"154,357","87,891",
May-98,"150,293","80,174",
Apr-98,"146,589","85,771",
Mar-98,"146,536","85,580",
Feb-98,"141,328","81,932",
Jan-98,"132,912","83,362",
Dec-97,"131,560","88,590",
Nov-97,"132,741","77,259",
Oct-97,"134,491","80,287",
Sep-97,"131,962","73,087",
Aug-97,"124,404","71,211",
Jul-97,"121,090","73,714",
Jun-97,"118,843","72,422",
May-97,"111,097","66,879",
Apr-97,"102,842","64,825",
Mar-97,"104,835","69,553",
Feb-97,"103,886","67,058",
Jan-97,"103,337","68,856",
